name,adress,lattitude,longitude
Немецкая школа (Deutsche Schule Moskau) им.Ф.П.Гааза,"проспект Вернадского, 103/5",55.664426,37.495446
Школа № 1440,"Осенний бульвар, дом 10, корпус 3",55.757536,37.412721
Школа № 1497 (ОЦ Протон),"улица Барклая, дом 15, корпус 3",55.74486,37.493075
Школа № 2101,"Малая Филёвская улица, дом 26, корпус 2",55.73626,37.462694
Школа № 1329,"ул. Никулинская, дом 10",55.668935,37.465002
Школа № 1238,"Чоботовская улица, дом 19",55.645207,37.345616
Школа № 1293,"Оршанская улица, дом 10, корпус 1",55.742939,37.410583
Школа Тропарево,"улица Академика Анохина, дом 48",55.653304,37.469665
Школа № 1376,"Лукинская улица, дом 12, корпус 1",55.6486,37.341206
Ломоносовская школа,"Аминьевское шоссе, 18, корп. 4",55.71448,37.455983
Средняя школа-интернат МИД РФ,"Московская область, Щелковский район, поселок Юность",55.920668,38.127178
Школа № 1541,"проспект Вернадского, дом 55",55.672808,37.504483
Школа № 1586,"ул. Дружбы, д. 8",55.709272,37.513556
Московский образовательный комплекс ЗАПАД,"ул. Бобруйская, д. 23",55.738855,37.394
Шуваловская школа № 1448,"Мичуринский проспект, д. 5, к. 1",55.702495,37.512649
Школа № 1593,"ул. Крылатские холмы, д. 28, к. 1",55.764648,37.41467
Школа № 38,"Мичуринский проспект, д. 42",55.696991,37.490003
Школа № 41 имени Григория Алексеевича Тарана,"ул. Большая Внуковская, д. 4",55.614246,37.294718
Школа № 56 имени академика В.А. Легасова,"Кутузовский проспект, д. 22, к. 1",55.746608,37.549588
Школа № 63,"ул. Крылатские холмы, д.23",55.7559,37.412837
Школа № 97,"ул. Кременчугская, д. 46",55.712046,37.456226
Школа № 323,"проспект Вернадского, д. 57",55.672169,37.504762
Школа № 384 имени Д.К. Корнеева,"Беловежская ул., д. 67",55.708415,37.39744
Школа № 587,"Можайское ш., д. 18, корп. 2",55.721549,37.428827
Школа № 712,", Кутузовский проспект, д. 80",55.725732,37.455408
Школа № 806,"ул. Полоцкая, д. 21",55.732352,37.423509
Школа № 809,"Можайское шоссе, д. 50",55.717224,37.405049
Школа № 843,"Мичуринский проспект, Олимпийская деревня, д. 23, д. 23, стр. 1",55.670965,37.457286
Школа № 875,"пр-т Вернадского, д. 101, корп. 5",55.664299,37.491611
Школа № 887,"ул. Молдавская, д. 6, корп. 2",55.731997,37.439706
Школа № 1000,"ул. Наро-Фоминская, д.1",55.657733,37.390604
Школа № 1002,"Солнцевский проспект, д. 12А",55.652883,37.402228
Школа № 1015," Новопеределкинская ул., д. 9 корп. 1",55.63909,37.36352
Школа № 1133,"ул. Крылатские холмы, д. 15, к. 1",55.750869,37.417832
Школа № 1195,"ул. Дорогобужская, д. 13",55.716174,37.415981
Школа № 1432,"ул. Шолохова, д. 19",55.642596,37.341376
Школа № 1436,"ул. Родниковая, д. 20, к. 1",55.634278,37.380992
Школа № 1465 имени адмирала Н.Г. Кузнецова,"ул. Брянская, д. 10",55.745205,37.559892
Школа № 1467,"ул. Шолохова, д. 9",55.638866,37.347656
Школа № 1471,"ул. Крылатская, д. 25",55.770517,37.413646
Школа № 1726,"ул. Дениса Давыдова, д.5",55.738662,37.5183
Школа № 1741,"ул. Никулинская, д. 5",55.666442,37.455543
Школа № 2127,"Салтыковская улица, дом 13Б",55.737796,37.863369
Школа № 429 Соколиная гора,"проспект Будённого, дом 15А",55.77551,37.725047
Школа № 1310,"ул. Перовская, д.44 А",55.743198,37.782135
Школа № 1598,"ул. Хабаровская, д. 18 А",55.824577,37.829512
Лицей гуманитарных технологий МПГУ,"улица 3-я Владимирская, дом 7",55.761436,37.786941
Школа № 1502 при МЭИ,"ул. Молостовых, д. 10а",55.760282,37.830204
Школа № 1505 Преображенская,"ул 2-Пугачевская, д. 6А",55.7956,37.728703
Школа № 1516,"ул. Хабаровская, д. 4а",55.81652,37.831767
Школа № 1290,"Первомайская улица, дом 59",55.793723,37.793157
Школа № 1389 (СП Вешняковской школы),"ул. Кетчерская, д. 8А",55.742732,37.82546
Школа № 1404 Гамма,"ул. Большая Оленья, д. 3",55.803767,37.688126
Школа № 1504,"улица Сталеваров, дом 10А",55.76209,37.837992
Измайловская школа № 1508,"Первомайская улица, дом 65",55.793743,37.795744
Школа № 1512,"Косинская улица, дом 24А",55.718187,37.830114
Школа № 1530 Школа Ломоносова,"Егерская улица, дом 4",55.793141,37.684775
Школа № 1637,"3-я Владимирская улица, дом 12А",55.759527,37.783635
Школа № 1748 Вертикаль,"Сиреневый блв., д. 73, к. 3",55.804855,37.827841
Школа № 1797 Богородская,"ул. 3-я Гражданская, д. 64",55.808467,37.711779
Школа № 1798 Феникс,"Зеленый просп., д.75, стр.1.",55.753129,37.813243
Школа № 2072,"ул. Утренняя, д. 12",55.74747,37.792753
Школа № 2200,"ул. 11-я Парковая, д. 50",55.807294,37.806299
Школа Новокосино,"ул. Суздальская, д. 24Б",55.742372,37.859013
Школа № 1362 с углубленным изучением английского языка,"ул. Лечебная, д. 20",55.78978,37.740812
Школа № 319,"ул. Амурская, д. 6",55.806651,37.759803
Колледж музыкально-театрального искусства (КМТИ) имени Г.П. Вишневской,"улица Суздальская, 40б",55.744961,37.874787
Школа № 1360,"Краснобогатырская улица, дом 21А",55.812787,37.701879
Технологический колледж № 21,"ул. Вербная, д.4, стр. 1",55.824319,37.776745
Школа самоопределения № 734 имени А.Н. Тубельского,"Сиреневый бульвар, дом 58А",55.801293,37.82449
Вешняковская школа,"Аллея Жемчуговой, д. 7",55.732945,37.827257
Школа № 1947 (СОШ № 1362),"ул. Щербаковская, д. 36",55.781955,37.732386
Школа № 2031,"ул. Дмитриевского, д.  13",55.710058,37.890831
Школа № 2036,"ул. Татьяны Макаровой, д. 2",55.710453,37.88704
Школа № 2126 Перово,"ул. Плющева, д. 11А",55.7426,37.762668
Школа № 444,"Нижняя Первомайская ул., 14",55.790676,37.796562
Школа с углубленным изучением немецкого языка № 1269 (ММШ),"3-я Владимирская улица, дом 26А",55.754993,37.786267
Школа № 1294 с углубленным изучением немецкого языка (СП СОШ №1797 «Богородская»),"Глебовская улица, дом 10Б",55.811776,37.715022
Школа № 2026,"улица Медведева, дом 6",55.717366,37.883671
Школа № 1811 Восточное Измайлово,"Первомайская улица, дом 111",55.793915,37.814717
Школа № 1282 Сокольники,"улица Барболина, дом 1",55.789775,37.684766
Школа № 1324,"Федеративный проспект, дом 27",55.754856,37.820196
Школа № 1352,"Щёлковское шоссе, дом 77А",55.813329,37.804072
Школа № 2033,"Щёлковское шоссе, дом 26А",55.808093,37.779628
"Школа № 1301 имени Е.Т. Гайдара, СП СОШ № 1362","Измайловское шоссе, дом 60",55.780066,37.738288
Школа № 1795 Лосиноостровская,"Открытое шоссе, д. 23А.",55.827085,37.752975
Школа № 402 имени Алии Молдагуловой,"ул. Косинская, д. 10А",55.723982,37.834821
Школа № 1476,"ул. Челябинкая, д. 20",55.776912,37.831156
Школа № 1563,"13-я Парковая ул., д. 33.",55.807486,37.810414
Школа № 1591,"ул. Новокосинская, д. 40А",55.74186,37.872101
Прогимназия № 1752 в Сокольниках,"ул. Большая Остроумовская, д. 7",55.793095,37.685242
